/dmarker/@word	dmarker/@id	dmarker/orths/orth1/@orth1type	dmarker/orths/orth1/part1/@orth1typep1	dmarker/orths/orth1/orth1part1	dmarker/orths/orth1/part2/@orth1typep2	dmarker/orths/orth1/orth1part2	dmarker/syn/type	dmarker/syn/cat	dmarker/syn/context/mood	dmarker/syn/context/tense	dmarker/syn/modifier1	dmarker/syn/modifier2	dmarker/sem/relationl1	dmarker/sem/relationl2	dmarker/sem/relationl3	dmarker/synonym/@lexicon	dmarker/synonym/@entryid	dmarker/synonym	dmarker/examples/example1/@ex1source	dmarker/examples/example1	dmarker/examples/example2/@ex2source	dmarker/examples/example2	dmarker/examples/@ex3source	dmarker/examples/example3	dmarker/comment
nesta perspectiva 	dm158	cont	phrasal	nesta perspectiva 			secondary connective	adv					contingency	cause	result	dimlex-en	91	accordingly 	CRPC	"Quando se afirma que "" na capital o controlo e as verificações da qualidade das peças de medição são garantidas pela Divisão de Metrologia da Câmara Municipal de Lisboa "" , o artigo está a reportar -se apenas aos aparelhos citados na peça . Nesta perspectiva , o que se disse não deixa de ser verdade ."					
neste contexto 	dm159	cont	phrasal	neste contexto 			secondary connective	adv					contingency	cause	result	dimlex-en	91	accordingly 	CRPC	Contudo , segundo a CISF , apesar da intervenção concertada dos bancos centrais e do alargamento do diferencial da taxa de juro entre os EUA e a Europa , persiste o sentimento negativo em relação ao dólar . Neste contexto , o investimento em activos denominado em dólares depende da estabilização dos mercados financeiros - as taxas de juro de curto prazo norte-americanas são ainda consideradas insuficientemente elevadas face à actual fase do ciclo económico - e da alteração das expectativas cambiais , o que poderá significar uma maior depreciação do dólar .					
neste sentido 	dm160	cont	phrasal	neste sentido 			secondary connective	adv					contingency	cause	result	dimlex-en	91	accordingly 	CRPC	Falecido em 1978 , viveu a vida da sua banda como ninguém ao longo dos 70 anos , tendo pela sua acção deixado um grande contributo à cultura concelhio no âmbito da música . Neste sentido , a Câmara deliberou recentemente atribuir a mestre Laranjeira a medalha de mérito laboral , a título póstumo . 					
no entanto	dm161	cont	phrasal	no entanto			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	17	however	CRPC	Muitos foram os casos , porém , que não puderam ser atendidos , o que lamentamos . No entanto , mais de metade dos pedidos recebidos foge ao âmbito deste serviço .					
no entretanto	dm162	cont	phrasal	no entretanto			primary connective	adv					temporal	asynchronous	succession	dimlex-en	32	meanwhile	CRPC	 A sua rivalidade pela liderança da direita clássica é tão forte que as eleições poderão acabar na morte política de um dos dois . No entretanto , entreatacam -se . 					
no fim de contas	dm163	cont	phrasal	no fim de contas			primary connective	adv					expansion	conjunction		dimlex-en	39	ultimately	CRPC	Aí estava o meu romance lisboeta definitivamente arrumado - epílogo de lágrimas em noite de Santo António . No fim de contas , a coisa tinha sido airosa e bastante fácil nada justificava aquela estúpida fadiga de arrobas .					
no final 	dm164	cont	phrasal	no final 			primary connective	adv					expansion	conjunction		dimlex-en	39	ultimately	CRPC	Este motivo , a confissão espontânea do arguido e o facto de não ter antecedentes criminais , foram decisivos para o juiz o condenar nos 200 dias de prisão e 120 de multa a mil escudos diários ( ou 80 de prisão , como alternativa ) , para além da interdição da actividade de exploração de restaurante ou similar pelo prazo de um ano . No final , o juiz suspendeu -lhe a pena por dois anos .					
no momento em que 	dm165	cont	phrasal	no momento em que 			secondary connective	csu					temporal	synchronous		dimlex-en	11	when	CRPC	Acabou por tomar uma das três vias possíveis » Tavares Moreira , presidente da Associação da Bolsa de Valores de Lisboa « Económico » , 21 / 2 / 95 « A CMVM lançou uma bomba que foi completamente abafada » idem « No momento em que o conselho directivo da CMVM tomou a decisão de se demitir , não podíamos deixar de sublinhar o trabalho muito positivo desenvolvido por aquele órgão e , em particular , pelo seu presidente » Rocha Pinto , presidente da Associação da Bolsa de Valores do Porto					
obrigar	dm166	cont	single	obrigar			altlex	verb					contingency	cause	result				EC	Para os optimistas, no entanto, um eventual arrastamento da crise económica poderá obrigar, finalmente, os responsáveis europeus a enfrentar a necessidade de rever as suas políticas em função da nova realidade económica					
ora	dm167	cont	single	ora			primary connective	adv					expansion	conjunction		dimlex-en	88	and	CRPC	Até então , o que sabíamos do nosso património resumia -se aos restos de um navio presumivelmente português nas Seychelles - mas de que não se conservou a estrutura - e de uma fragata portuguesa de fins do século XVII , afundada no Quénia . Em Portugal , no espaço de quatro anos , surgiram cinco navios antigos . Ora , três deles apontam para datações muito mais recuadas que os outros conhecidos e passam a constituir um bloco muito significativo e ainda inédito . 	CRPC	O documento em referência , ao criticar os números estatísticos que indiquei , conclui com esta apreciação : « O resto é pelo menos fantasia » . E isto poderia levar a supor que iludi a Assembleia . Ora , devo declarar que os números de que me utilizei são oficiais , respeitam , como disse , a sete meses ; foram solicitados por mim ao Sr. Ministro da Justiça em 31 de Julho de 1946 , e recebi -os por intermédio da Mesa , como consta do Diário das Sessões n . 			
ou	dm168	cont	single	ou			primary connective	cco					expansion	disjunction		dimlex-en	23	or 	CRPC	Antes de o fazer , no entanto , a lei exige-lhe que pague o imposto ou apresente na repartição de Finanças uma garantia de pagamento .					
ou antes	dm169	cont	phrasal	ou antes			primary connective	adv					expansion	substitution	arg2-as-subst	dimlex-en	35	rather	CRPC	Ergui um pouco a cabeça , ou antes , desviei os olhos da luz soluçante , mortiça , da vela na palmatória de prata sobre a cadeira					
ou melhor	dm170	cont	phrasal	ou melhor			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	35	rather	CRPC	"Duas actrizes espanholas , Nuria Espert e Amparo Rivelles , vão interpretar duas actrizes . Ou melhor , vão entrar em duelo num "" subtil combate de esgrima "" com um homem no centro ."					
ou seja	dm171	cont	phrasal	ou seja			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	74	in other words	CRPC	"A revisão constitucional acabou e consistiu exactamente naquilo que o ministro dos Assuntos Parlamentares disse que ia ser e no "" timing "" por si indicado . Ou seja , ficou pronta antes das europeias e consiste no aumento da autonomia das regiões , na limitação dos mandatos , na substituição da Alta Autoridade para a Comunicação Social e na adaptação à futura Constituição Europeia ."					
para	dm172	cont	single	para			primary connective	prep		infinitive			contingency	purpose	arg2-as-goal			for	CRPC	E , após quilómetros de marcha sonâmbula aos pontapés às pedras e aos arbustos para não adormecer , acabou por desembocar numa vasta clareira batida pelo sol , onde se deteve a cerrar os olhos ofuscados pela luz súbita .					
para mais	dm173	cont	phrasal	para mais			primary connective	adv					expansion	conjunction		dimlex-en	24	moreover	CRPC	Cem mil pessoas estão desempregadas e as tendências apontam para o aumento do desemprego e uma nítida desaceleração económica . Para mais , a pequena república acolheu cerca de 100 mil refugiados da guerra civil da Bósnia ( cinco por cento da população ) o que contribuiu para aumentar as tendências ultranacionalistas e xenófobas.					
para que 	dm174	cont	phrasal	para que 			primary connective	csu	subjunctive				contingency	purpose	arg2-as-goal	dimlex-en	22	so that	CRPC	Para que se acendam de novo as luzes da esperança num clube europeu tradicionalmente ganhador , é preciso que se iluminem primeiro as mentes de quem o dirige , dentro e fora do terreno de jogo .					
para que percebam melhor	dm175	cont	phrasal	para que percebam melhor			altlex	unknown					expansion	specification	arg2 as detail				TedTalk2150	Para que percebam melhor, chamamos Smalltimore a_ a parte verde de_ a rede, a_ os que ali moram, porque parece que vivemos em_ uma cidade muito pequena.					
pelo conseguinte 	dm176	cont	phrasal	pelo conseguinte			primary connective	csu					contingency	cause	result	dimlex-en	42	therefore	CRPC	Sei que o Sr. Ministro , o Governo , não tem direito a voto nesta Assembleia , pelo conseguinte , não irá votar , mas , de qualquer modo , estamos a discutir uma proposta de lei do Governo e , por isso , em favor da clareza política , gostaria de , através do Sr. Ministro , saber qual é a opinião do Governo sobre a sua proposta , no que concerne à redução do número de Deputados .					
pelo contrário 	dm177	cont	phrasal	pelo contrário 			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	92	on the contrary	CRPC	Dados os constrangimentos financeiros da autarquia , as limitações impostas pelo actual Governo ao recurso ao crédito , o abrandamento da actividade económica e as invectivas contra o excesso de construção que limitaram a arrecadação de importantes receitas para os cofres municipais , Rui Rio não podia fazer milagres . Pelo contrário , é patente o esforço da actual equipa em cortar na despesa corrente , que , apesar da sua rigidez , estabilizou , e é notória a melhoria da situação global através da análise do saldo orçamental , que está bem melhor que nos últimos anos .					
pelo facto de 	dm178	cont	phrasal	pelo facto de 			primary connective	prep					contingency	cause	reason	dimlex-en	4	because	CRPC	Os locais talvez respirem de alívio pelo facto de o projecto de reconstrução não ter sido levado avante . 					
pelo que	dm179	cont	phrasal	pelo que			primary connective	csu					contingency	cause	result	dimlex-en	13	so	CRPC	O capitão da equipa continua em tratamento a uma microrrotura de esforço na zona abdominal , pelo que ficou de fora do lote dos convocados para o jogo com o Schalke 04 , referente à segunda mão da terceira eliminatória da Taça UEFA e marcado para as 19.30 horas de terça-feira , no Parkstadion de Gelsenkirchen .					
pese embora	dm180	cont	phrasal	pese embora			primary connective	csu					comparison	concession	arg2-as-denier	dimlex-en	1	although	CRPC	Salazar governava o país - ele próprio o disse - como uma boa dona de casa governa a família . Pese embora ser o homem mais temido e poderoso de Portugal , o chefe do Governo levava uma vida humilde e desprezava as honrarias .					
pode concluir-se que	dm181	cont	phrasal	pode concluir-se			altlex	verb					expansion	summarization	arg1-as-detail			it can therefore be concluded that	CRPC	Aí se desenvolvem diversas linhas de investigação que têm conseguido produzir trabalhos de valia , são elas em particular a das doenças neuromusculares com Maria de Lurdes Sales Luís , a das doenças vasculares com José Ferro , a neurologia do sono com Teresa Paiva e a neurologia do comportamento de que somos responsáveis , estando Carlos Garcia empenhado no estudo da deterioração mental . Também a Neurocirurgia como parceiro natural das Neurociências seria merecedor de comentário extenso , todavia , esse tema é objecto de análise noutro texto . Pode concluir -se afirmando que estamos optimistas no que respeita ao potencial humano da Ciência nacional , assim saiba Portugal encontrar o caminho para que o seu labor frutifique e se multiplique nas gerações mais jovens .					
pois	dm182	cont	single	pois			primary connective	csu					contingency	cause+belief	reason+belief	dimlex-en	34	since	CRPC	Segundo o criminologista James Fox , especializado em delinquência juvenil , os adolescentes podem ser mais perigosos do que os adultos , pois são capazes de matar pelos motivos mais triviais .					
pois que	dm183	cont	phrasal	pois que			primary connective	csu					contingency	cause	reason	dimlex-en	34	since	CRPC	Sabia -se que desde COD _ L0520P0385X o remoto Sião vinham a Jafana , ano por ano , embaixadas especiais moldá -lo em âmbar , cera , almíscar , e confeições várias aromáticas . Pois que não lhes era dado ter o divino original , contentavam -se com aquelas estampas que recolhiam em cofres de oiro e sândalo e eram objecto de santíssima e sumptuosíssima veniaga entre brâmanes e rajás .					
por	dm184	cont	single	por			primary connective	prep					contingency	cause+belief	reason+belief	dimlex-en	34	since	CRPC	Este Grupo Parlamentar , por considerar que o referido projecto viola o inciso constitucional decorrente do artigo 24.º , n.º 1 , entende que não devia ter havido lugar à admissão do mencionado projecto , nos exactos termos do artigo 137 . 					cco/csu
por 	dm185	cont	single	por			primary connective	prep					contingency	cause	reason	dimlex-en	34	since	CRPC	Por não dispor de juízes substitutos , cada vez que um juiz se ausenta o volume de processos pendentes aumenta .					
por conseguinte	dm186	cont	phrasal	por conseguinte			primary connective	adv					contingency	cause	result	dimlex-en	42	therefore	CRPC	"É que depois , queixou -se , "" não posso mover uma acção contra as pessoas que apresentam as reclamações "" . Por conseguinte , anunciou que vai pedir "" a todas as instâncias superiores "" para que o seu caso tenha rapidamente um esclarecimento porque , sublinhou , "" estou a ser alvo de uma carta anónima "" ."					
por consequência 	dm187	cont	phrasal	por consequência 			primary connective	adv					contingency	cause	result	dimlex-en	89	hence 	CRPC	Dessa responsabilidade prática todos os grandes nomes da ditadura fugiram . Por consequência , teve a revolução que enfrentar a questão colonial e Melo Antunes chamou a si os casos mais difíceis .					
por essa razão	dm188	cont	phrasal	por essa razão			secondary connective	adv					contingency	cause	result			for this reason	EC	Os açorianos das ilhas oeste , por força de circunstancialismos geográficos e do sistema de transportes existente até há poucos anos , para saírem do arquipélago tinham de passar obrigatoriamente por Ponta Delgada . Por essa razão , habituaram -se a conhecer a terra e de certa maneira as suas gentes .					
por esse motivo 	dm189	cont	phrasal	por esse motivo 			secondary connective	adv					contingency	cause	result			for this reason	CRPC	O Vidoeiro é no entanto sensível a muito grandes altitudes ( prefere o piso montano : 300 a 1500 m ) e gosta de zonas húmidas . Por esse motivo , ele surge nas margens dos cursos de água de altitude , sobretudo nas Serras da Lousã , e da Estrela , e nas do Minho e do Norte de Trás-os-Montes .					
por falar em	dm190	cont	phrasal	por falar em			altlex	verb					expansion	conjunction				by the way	CRPC	Comer bem e barato E por falar em comer , só andando pelo país é que se percebe o quanto se come caro e mal em Lisboa .					
por falar nisso	dm191	cont	phrasal	por falar nisso			secondary connective	adv					expansion	conjunction				by the way	CRPC	Que mais pagará o orçamento elástico do Metro do Porto daqui até às eleições ? Por falar nisso , íamos então no assunto das eleições para o Parlamento Europeu .					
por isso	dm192	cont	phrasal	por isso			secondary connective	adv					contingency	cause	result	dimlex-en	84	consequently 	CRPC	A orgânica posterior extinguiu as províncias , dando a vez aos distritos . Por isso , a tutela passou a ser exercida pelo governador do distrito , pelo director dos serviços da administração civil , pelo secretário-geral do governo e pelo governador-geral .					
por mais que	dm193	cont	phrasal	por mais que			primary connective	csu	subjunctive				comparison	concession	arg2-as-denier			no matter how much	CRPC	A toxicodependente inundou o serviço de um cheiro nauseabundo , que fazia revoltar o estômago . Por mais que lhe tentassem tirar o saco de plástico preto , com um limão , seringas usadas e colheres de alumínio , não deixava .					
por muito que	dm194	cont	phrasal	por muito que			primary connective	csu	subjunctive				comparison	concession	arg2-as-denier			no matter how much	CRPC	"Por muito que estudem os sociólogos e justifiquem os peritos em comportamento social das grandes massas , as "" torcidas "" da bola não nos deixam de surpreender ."					
por outras palavras	dm195	cont	phrasal	por outras palavras			primary connective	adv					expansion	equivalence		dimlex-en	74	in other words	CRPC	Para alcançar tal fim , a FNAT podia organizar colónias de férias , demonstrações atléticas e cursos de ginástica , bem como instalar bibliotecas populares , criar cursos de cultura geral ou profissional , organizar conferências e sessões de cinema educativo . Por outras palavras , a nova fundação visava enquadrar num esquema hierárquico grande parte das actividades culturais que outrora constituiam uma importante força motriz do sindicalismo livre , de forma a poder vigiar a cultura operária numa escala nacional .					
por outro lado	dm196	cont	phrasal	por outro lado			primary connective	adv					expansion	conjunction		dimlex-en	27	on the other hand	CRPC	"O porte pago vai continuar a existir mas com critérios mais apertados  , garantiu . Por outro lado , o Executivo está a negociar com a Lusa a produção de "" conteúdos dedicados "" à imprensa regional e local de modo a "" melhorar a oferta existente "" , sublinhou ."					
por seu turno	dm197	cont	phrasal	por seu turno			secondary connective	adv					expansion	conjunction		dimlex-en	43	in turn	CRPC	O protocolo ontem assinado estipula que a associação de moradores da praia de Cortegaça assuma o papel de colaborador na prossecução da finalidade da autarquia , tendo em conta a defesa dos interesses no bairro do SAAL . Por seu turno , a Câmara de Ovar , e tendo em conta a colaboração da própria estrutura de moradores , isentará os associados iniciais da comissão do pagamento da renda - até à morte do arrendatário ou do cônjuge - , na altura da celebração do contrato de arrendamento destinado ao realojamento das famílias .					
por sua vez 	dm198	cont	phrasal	por sua vez 			secondary connective	adv					comparison	similarity		dimlex-en	43	in turn 	CRPC	"Segundo as estimativas deste responsável , "" mais de metade dos 36 mil cidadãos que conseguiram 25 acções , na ' tranche ' para o público em geral , já venderam e ganharam 10 por cento "" . Por sua vez , em virtude da instabilidade que se vive nos mercados asiáticos , alguns investidores internacionais também se apressaram a realizar mais-valias , acrescentou ."					
por sua vez 	dm199	cont	phrasal	por sua vez 			secondary connective	adv					comparison	contrast		dimlex-en	43	in turn 	CRPC	"No que diz respeito ao crescimento económico , o BCE reviu em alta os crescimentos do produto interno bruto ( PIB ) para 2004 e 2005 , referindo que o crescimento económico global permanece robusto e que a recuperação deverá continuar a fortalecer -se , apesar de podermos assistir a flutuações temporárias . O Fed , por sua vez , foi mais cauteloso , sublinhando que embora algumas áreas da economia não apresentem bom desempenho , o importante é olhar para a economia norte-americana como um todo , onde a expansão económica voltou a ganhar algum ritmo ( permanece a incógnita de qual a dimensão do "" algum "" ) . "					
por um lado … por outro	dm200	discont	phrasal	por um lado	phrasal	por outro	secondary connective	cco					expansion	conjunction		dimlex-en	100	on the one hand… on the other hand	CRPC	Por um lado , acho que os portugueses estão baralhados , mas não são só os portugueses . Por outro , a geração mais jovem está a ousar criar , a ousar encontrar formas e está -se a prender pouco às respostas das gerações anteriores .					
por um lado… por outro lado	dm201	discont	phrasal	por um lado	phrasal	por outro lado	secondary connective	cco					expansion	conjunction		dimlex-en	100	on the one hand… on the other hand	CRPC	Por um lado , o Parlamento Francês acaba de aprovar uma Lei delegando na Federação Francesa do Desporto Automóvel ( FFSA ) o poder de conceder o exclusivo da transmissão TV da corrida do GP de França à empresa que bem entender . Por outro lado , e sempre na defesa da liberdade de informar os franceses , a nova Lei dá a todos os outros canais de TV a garantia de poderem filmar quando quizerem , e como quizerem ...					
porém	dm202	cont	single	porém			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	17	however	CRPC	"Em Lisboa , não encontraram a apropriação dos núcleos antigos por uma nova classe média - - um fenómeno a que os académicos chamam "" gentrification "" . Porém , partindo do trabalho de reabilitação urbana e da procura residencial dos centros históricos - - duas dinâmicas que "" caracterizam as cidades das sociedades contemporâneas "" - - , levantaram algumas questões importantes para a vida dos bairros tradicionais ."					
porque	dm203	cont	single	porque			primary connective	csu					contingency	cause+belief	reason+belief	dimlex-en	4	because 	CRPC	Quanto a nós , isso é incorrecto , porque tal voto devia ser considerado nulo , na medida em que era exercido no nome de uma pessoa que não concorria a este acto eleitoral . 					
porque 	dm204	cont	single	porque			primary connective	csu					contingency	cause	reason	dimlex-en	4	because 	CRPC	E certamente que as discotecas são um dos pontos excelentes de venda , porque os jovens que querem ficar a dançar toda a noite , ou que querem ter sensações fortes , sem parar , escolhem esta anfetamina .					
portanto	dm205	cont	single	portanto			primary connective	adv					contingency	cause+belief	result+belief	dimlex-en	13	so 	CRPC	Em resumo , para um total de cerca de 2 , 2 milhões de contos de obras com verba assegurada , a Câmara do Porto apenas foi capaz de realizar cerca de 40 % daquilo que prometeu à população de Lordelo do Ouro em 1994 . Portanto , e a partir destes números , em vez de querer saber onde foi que a Câmara gastou o que tirou a Lordelo , prefiro afirmar que a Câmara do Porto ficou a dever à população de Lordelo do Ouro , em 1994 , 1 , 4 milhões de contos em obras que deveria fazer e não fez .					
portanto	dm206	cont	single	portanto			primary connective	adv					contingency	cause	result	dimlex-en	13	so 	CRPC	Nos ossos há um processo lento de mobilização e substituição do flúor , que se avalia em 3 - 4 anos para que metade da quantidade total seja substituída , enquanto que no esmalte e na dentina a mobilização é quase inexistente , permanecendo portanto o flúor ao longo do tempo .					
posto isso	dm207	cont	phrasal	posto isso			altlex	adv					comparison	concession 	arg2-as-denier			hereupon	CRPC	Na verdade , o xadrez desenvolve apenas o tipo de inteligência que leva o indivíduo a jogar melhor xadrez . Posto isso , que fique claro que babo -me pelos intelectuais .					
posto que	dm208	cont	phrasal	posto que			primary connective	csu					comparison	concession	arg2-as-denier	dimlex-en	2	though	CRPC	Posto que duvide da exemplaridade pedagógica do método , não hesito em aplaudi -lo no que me diz respeito , porque essa passagem do literato incipiente da anarquia da Sala Geral para a classe de português assinalou o reconhecimento da minha vocação , Entrementes , fervilhava a intriga habitual .					
primeiro que	dm209	cont	phrasal	primeiro que			primary connective	csu					temporal	asynchronous	precedence	dimlex-en	8	until	CRPC	Primeiro que o cortejo terminasse foi um inferno de tempo . 					arg2 precedes arg1
provocar	dm210	cont	single	provocar			altlex	verb					contingency	cause	result				EC	Este cenário provocará uma nova fonte de tensão entre o poder monetário, exercido pelo BCE, e o poder económico da zona euro, a cargo de cada um dos seus governos.					
quando	dm211	cont	single	quando			primary connective	csu					comparison	contrast		dimlex-en	11	when 	CRPC	A esta última razão pôs logo o mesmo Armando Cortesão severas reservas , afirmando ser « difícil de admitir , pois não se compreende que interesse a Inquisição poderia ter em suprimir cartas de marear do século XV , quando tantas outras escaparam a essa sorte » ; mas o certo é que também as outras explicações são de afastar liminarmente , por vários motivos . 					
quando	dm212	cont	single	quando			primary connective	csu					temporal	synchronous		dimlex-en	11	when  	CRPC	Quando me levantei , fui atirado contra as paredes da cabina .					
quando	dm213	cont	single	quando			primary connective	csu					temporal	asynchronous	succession	dimlex-en	11	when 	CRPC	Quando o encontro terminar , amanhã , deverá sair uma declaração final que prevê o fim do fabrico de tais engenhos até final do ano .					
quando 	dm214	cont	single	quando			primary connective	csu					comparison	contrast		dimlex-en	11	when	CRPC	Isso não impede os consumidores de gastarem , porque , historicamente , as baixas taxas de juro significam que os seus pagamentos mensais desceram para 16 % do rendimento , quando em 1990 eram de 18 , 5 % .					
quer dizer	dm215	cont	phrasal	quer dizer			primary connective	adv					expansion	specification	arg2 as detail	dimlex-en	74	in other words	CRPC	 > PASSARAM treze anos sobre os primeiros Encontros Acarte e o facto de a 14ª edição acontecer quando a instituição faz pela primeira vez parte , enquanto departamento , do Centro de Arte Moderna ( CAM ) , funcionou como determinante da programação . Quer dizer : temos os primeiros encontros temáticos da sua história dedicados exclusivamente ao Brasil e antecedendo a abertura , em Outubro , no CAM , de uma exposição sobre a Arte Brasileira do Século XX , no âmbito das comemorações dos 500 anos da sua descoberta .					
razão pela qual	dm216	cont	phrasal	razão pela qual			altlex	noun					contingency	cause	result			this is the reason why	EC	 Finalmente, o estudo concluiu que a prática da actualização anual - quando a desvalorização era mensal - e a separação entre danos totais e danos parciais, duas ilegalidades praticadas nos primeiros meses da aplicação da Lei , deixaram agora de se verificar, razão pela qual os consumidores têm sobejas razões para se congratular.					
reciprocamente	dm217	cont	single	reciprocamente			primary connective	adv					comparison	contrast		dimlex-en	83	conversely	CRPC	"As pessoas do grupo O são "" dadores universais "" , o que significa que qualquer pessoa pode receber sangue deste grupo . Reciprocamente , as do grupo AB são "" recipientes universais "" , o que significa que podem ser transfundidas com o sangue de qualquer grupo ."					
reduzir	dm218	cont	single	reduzir			altlex	verb					contingency	cause	result				EC	De acordo com especialistas, uma subida de 10 por cento do dólar reduz o crescimento da eurolândia em um ponto.  					
relativamente a	dm219	cont	phrasal	relativamente a			primary connective	prep					expansion	conjunction				in relation to	CRPC	Sr. Deputado , relativamente a viabilizar Orçamentos do Estado , temo -lo feito . 					
salvo se	dm220	cont	phrasal	salvo se			primary connective	csu	subjunctive				cause	negative-condition	arg2-as-negcond	dimlex-en	31	unless	CRPC	""" Salvo se houver uma determinação em contrário do ministro da Administração Interna ou uma reviravolta no caso , vamos apenas acompanhar os processos junto da Direcção Nacional da PSP e do tribunal "" , disse ."					
se	dm221	cont	single	se			primary connective	csu					contingency	condition	arg2-as-condition	dimlex-en	9	if	CRPC	Se tal não se concretizar , ameaçam com formas de luta que podem passar pelo boicote a futuros actos eleitorais .					
se bem que	dm222	cont	phrasal	se bem que			primary connective	csu	subjunctive				contingency	concession	arg1-as-denier	dimlex-en	1	although	CRPC	Se bem que a ideia do movimento não-alinhado de Nova Iorque ( denominado , por isso mesmo , « no wave » ) fosse , simplesmente , produzir música , a verdade é que o quinteto dirigido por John Lurie poderia ter feito pelo jazz o que os Sex Pistols fizeram pelo rock .					
se por um lado … por outro	dm223	discont	phrasal	se por um lado	phrasal	por outro	secondary connective	cco					expansion	conjunction				while on the one hand… on the other hand	CRPC	Se por um lado tudo está a correr bem , por outro nem por isso e , se calhar , afinal nem uma coisa nem outra - antes pelo contrário .					
se por um lado …. por outro lado	dm224	discont	phrasal	se por um lado	phrasal	por outro lado	secondary connective	cco					expansion	conjunction				while on the one hand… on the other hand	CRPC	Se por um lado , acentuou que a recuperação se vem realizando a um ritmo consistente , em vez da vivacidade que qualificara no passado , por outro lado , enfatizou um menor optimismo na melhoria do mercado de trabalho , facto este que deverá desvanecer expectativas de subida da taxa de referência entre Julho e Agosto .					
se por um lado... por outro	dm225	discont	phrasal	se por um lado		por outro	primary connective	unknown					expansion	conjunction		dimlex-en	100	on the one hand… on the other hand	CRPC	"Se por um lado Paulo Furtado reconhece que Coimbra está "" sempre fora de tudo "" , por outro ( e por experiência própria ) relembra que "" neste tipo de sociedade que estamos a viver , isto é possível de fazer do Turquistão para o mundo . "					
seja como for	dm226	cont	phrasal	seja como for			altlex	adv					comparison	concession	arg2-as-denier			anyway	CRPC	"Em Cabo Verde , a situação está mais equilibrada , mas na Guiné-Bissau , por exemplo , a maior dificuldade dos praticantes de juristas que vêm fazer o tirocínio em Portugal é precisamente a língua . Seja como for , a partir de hoje vão estar a lidar com problemas muito próximos , com a tal "" problemática mais delicada "" ."					
sem	dm227	cont	single	sem			primary connective	prep		infinitive			expansion	conjunction				without	CRPC	Sentia -a correr nas veias e envolvê -la , sem lhe deixar uma esperança .					
sem que	dm228	cont	phrasal	sem que			primary connective	csu	subjunctive				comparison	concession	arg1-as-denier			without	CRPC	Sem que haja , para já , qualquer metodologia desenhada , as conversações deverão começar por envolver representantes do Governo espanhol e do Partido Nacionalista Basco ( PNB ) , estendendo -se , por essa via à própria ETA .					
sempre que	dm229	cont	phrasal	sempre que			primary connective	csu					temporal	synchronous				whenever	CRPC	Sempre que se aproxima um Congresso , colam -me à ideia de um novo partido .					
sendo assim	dm230	cont	phrasal	sendo assim			primary connective	adv					contingency	cause	result	dimlex-en	42	therefore	CRPC	Em contrapartida , a velha Inglaterra nem precisa de ter constituição para respeitar os direitos humanos há muito mais tempo do que os países apressados na aprovação desta Carta . Sendo assim , não seria bem melhor a União Europeia aplicar -se em conseguir impedir o tráfico de imigrantes do que perder tempo a proclamar , como se faz nesta Carta , que esse tráfico é proibido ?					cause+speechact?
sendo que	dm231	cont	phrasal	sendo que			primary connective	csu					expansion	conjunction		dimlex-en	36	in fact	CRPC	Segundo o mesmo relatório , morreram mais 2131 pessoas que em média nos últimos cinco anos . Sendo que os idosos com mais de 75 anos foram os mais afectados , aumentando o índice de mortalidade para mais 47 por cento , em tempo homólogo .					
sim	dm232	cont	single	sim			primary connective	adv					comparison	substitution	arg2-as-subst	dimlex-en	26	instead	CRPC	Neste sentido , a presente amnistia não faz esquecer as lições destes cinco anos , que em breve se completarão ; não apaga o juízo político e da história sobre estes anos ; assenta sim na negação do « revanchismo » , da intriga , da calúnia e das campanhas de ódio . 					
só que	dm233	cont	phrasal	só que			primary connective	csu					expansion	conjunction		dimlex-en	3	but	CRPC	A saída do cartório notarial das instalações do tribunal também é uma reivindicação de advogados , funcionários e magistrados . Só que ficou de fora do processo , porque este tipo de serviços vai ser privatizados em breve .					
tal como	dm234	cont	phrasal	tal como			primary connective	adv					comparison	similarity		dimlex-en	28	as	CRPC	Tal como previa a maioria dos analistas , o Banco de Portugal manteve , ontem , inalteradas todas as suas taxas de intervenção no mercado monetário : a taxa de cedência regular de fundos , nos 7 , 50 por cento , a taxa de absorção , nos 6 , 80 por cento , e a taxa de cedência de emergência ( facilidade diária ) , nos nove por cento .					rel discursiva?
tal como ... também	dm235	discont	phrasal	tal como	single	também	primary connective	cco					comparison	similarity				just as ... so too	CRPC	Tal como sucede noutras modalidades , também aqui há uma dificuldade extrema em encontrar alternativas a um grupo de dois ou três clubes . 					
tal como… também	dm236	discont	phrasal	tal como	single	também	primary connective	adv					comparison	similarity				as… also	CRPC	Tal como acontece um pouco por toda a parte , também o Parque de Campismo da Árvore é ocupado , sobretudo na época alta , por uma grande família .					rel discursiva?
também 	dm237	cont	single	também			primary connective	adv					expansion	conjunction		dimlex-en	18	also	CRPC	Esse programa será diário e terá também um apresentador diferente para cada dia da semana .					
tanto … como	dm238	disccont	single	tanto	single	como	primary connective	cco					expansion	disjunction					CRPC	a velocidade da circulação tanto pode subir acima da normal como descer abaixo dela. 					
